Date,Open,High,Low,Close,Adj Close,Volume
2021-02-17,148.449997,148.699997,145.509995,146.500000,123.868454,55579
2021-02-18,146.500000,147.479996,145.509995,147.199997,124.460297,58993
2021-02-19,147.589996,148.899994,147.309998,147.330002,124.570229,62600
2021-02-22,147.500000,147.979996,145.600006,145.970001,123.420311,74902
2021-02-23,145.800003,148.699997,145.800003,148.000000,125.136726,52518
2021-02-24,148.000000,150.690002,147.509995,149.949997,126.785484,56184
2021-02-25,150.270004,153.500000,149.699997,151.000000,127.673294,57746
2021-02-26,151.050003,151.690002,149.000000,149.009995,125.990685,56407
2021-03-01,150.000000,150.679993,149.139999,149.919998,126.760117,51683
2021-03-02,149.919998,149.990005,148.020004,149.000000,125.982216,63551
2021-03-03,149.000000,149.279999,146.729996,147.500000,124.713966,45413
2021-03-04,147.509995,148.809998,147.000000,148.500000,125.559464,33889
2021-03-05,148.500000,149.850006,148.300003,149.789993,126.650185,56369
2021-03-08,146.990005,146.990005,143.580002,144.009995,121.763107,84519
2021-03-09,145.000000,145.949997,144.500000,144.500000,122.177414,49614
2021-03-10,144.500000,145.490005,144.419998,144.429993,122.118210,42033
2021-03-11,144.500000,145.800003,144.089996,145.639999,123.141296,39809
2021-03-12,145.899994,147.770004,145.009995,145.600006,123.107468,49176
2021-03-15,145.669998,147.600006,145.669998,146.380005,123.766983,42878
2021-03-16,146.500000,147.410004,145.899994,146.990005,124.282738,40941
2021-03-17,146.889999,146.990005,145.500000,145.500000,123.022919,41103
2021-03-18,145.800003,145.990005,144.860001,144.910004,122.524071,42088
2021-03-19,145.360001,146.080002,145.000000,145.500000,123.022919,41498
2021-03-22,146.000000,146.000000,144.500000,144.979996,122.583244,39702
2021-03-23,145.000000,145.460007,144.550003,144.899994,122.515610,38958
2021-03-24,145.020004,145.949997,145.000000,145.300003,122.853821,28800
2021-03-25,145.500000,148.500000,145.350006,147.509995,124.722389,46028
2021-03-26,147.990005,149.490005,147.690002,149.300003,126.235886,28466
2021-03-29,149.279999,149.460007,148.960007,149.199997,126.151344,28757
2021-03-30,149.199997,150.100006,149.199997,149.910004,126.751633,23229
2021-03-31,149.919998,152.149994,149.910004,152.149994,128.645599,35839
2021-04-01,152.149994,152.960007,149.970001,152.399994,128.856979,30464
2021-04-05,152.399994,153.940002,152.399994,153.940002,130.159088,53359
2021-04-06,153.940002,155.000000,153.639999,154.000000,130.209824,50582
2021-04-07,154.309998,154.490005,149.899994,152.100006,128.603333,45121
2021-04-08,152.100006,152.100006,149.899994,149.919998,126.760117,64287
2021-04-09,147.800003,149.000000,144.410004,146.970001,124.265831,68508
2021-04-12,145.210007,146.990005,145.100006,145.669998,123.166664,119120
2021-04-13,145.750000,146.580002,145.149994,145.559998,123.073647,76873
2021-04-14,145.559998,146.369995,145.559998,146.360001,123.750092,52637
2021-04-15,146.380005,147.889999,146.100006,147.460007,124.680145,60902
2021-04-16,147.580002,148.990005,147.500000,148.000000,125.136726,60695
2021-04-19,148.250000,148.720001,147.320007,147.399994,124.629387,58764
2021-04-20,147.399994,147.479996,146.759995,146.949997,124.248901,67609
2021-04-22,146.949997,147.990005,146.509995,147.649994,124.840775,54917
2021-04-23,147.660004,148.000000,146.899994,147.000000,124.291199,71979
2021-04-26,147.500000,147.990005,146.809998,147.000000,124.291199,52236
2021-04-27,147.149994,147.449997,146.800003,146.899994,124.206635,44503
2021-04-28,146.899994,147.589996,146.500000,146.539993,123.902252,51036
2021-04-29,146.539993,147.279999,146.399994,146.899994,124.206635,40919
2021-04-30,145.990005,147.300003,144.000000,146.800003,124.122124,128013
2021-05-03,146.949997,149.990005,146.529999,149.990005,126.819298,108480
2021-05-04,149.990005,151.899994,149.220001,149.759995,126.624809,171947
2021-05-05,141.539993,144.490005,140.600006,143.300003,121.162781,136572
2021-05-06,143.309998,144.429993,142.639999,142.850006,120.782303,65906
2021-05-07,142.710007,143.449997,142.119995,142.339996,120.351082,77647
2021-05-10,139.490005,139.490005,137.029999,137.910004,116.605453,139028
